,Mean Temp,Rel Hum,Wind Spd,Total Snow
1087,-2.1,84,12,1
1088,-5.9,79,13,1
1089,-8.2,70,34,1
1090,-14.4,63,27,0
1091,-15.5,65,18,0
1092,-17.5,63,8,0
1093,-12.3,72,10,1
1094,-13.3,70,21,1
1095,-18.6,63,12,0
1096,-15,68,20,0
1097,-10.5,71,26,1
1098,-9.9,61,22,0
1099,-14.7,64,28,0
1100,-19,60,26,0
1101,-20,60,12,0
1102,-11.5,64,18,1
1103,-0.2,80,23,1
1104,-1,68,16,0
1105,0.9,81,9,0
1106,8.6,84,16,0
1107,-0.2,87,30,1
1108,-14.3,59,28,0
1109,-11.9,64,9,0
1110,-7.8,72,20,1
1111,-6.7,76,12,1
1112,-10,73,21,1
1113,-6.6,71,18,0
1114,-2.2,64,22,0
1115,3,69,16,0
1116,1.1,85,7,0
1117,1.5,95,14,0
1118,1,86,24,0
1119,-7.9,63,25,0
1120,-6.9,59,9,0
1121,1.6,69,12,0
1122,5,65,23,0
1123,1.1,68,15,0
1124,-4.3,75,16,1
1125,-11,65,23,1
1126,-6.5,69,15,1
1127,-2.9,66,25,0
1128,-12.6,60,22,0
1129,-6.6,72,20,1
1130,-3.8,82,18,1
1131,-11,62,24,0
1132,-8.1,65,19,1
1133,-9,75,15,1
1134,-9.9,71,19,0
1135,-8.1,81,12,1
1136,-5.6,84,14,1
1137,-4.3,84,16,1
1138,-7.6,65,19,0
