Unnamed: 0,Mean Temp,Rel Hum,Wind Spd
681,3.5,59,19
577,23.1,63,13
1109,-11.9,64,9
1266,20.4,54,11
1183,3.7,92,15
524,10.9,59,30
1059,5.5,65,24
540,20.8,45,11
1194,-1.1,56,10
748,2.0,91,13
1692,22.2,73,14
1430,1.4,82,17
484,7.8,44,12
95,4.6,69,12
1020,11.1,57,18
563,20.1,54,14
1264,25.4,68,26
742,3.3,87,18
863,12.3,73,7
1598,10.9,56,15
1484,-0.4,77,23
891,22.6,57,16
1577,4.5,64,33
1038,3.9,76,17
206,23.6,95,6
392,-0.1,76,21
794,-7.1,60,16
870,11.7,41,22
397,0.0,74,15
766,-1.5,67,23
1682,19.9,56,18
1241,22.2,59,12
1028,7.3,67,17
642,17.3,84,12
1819,0.6,92,14
612,18.7,63,8
960,23.4,79,21
1570,6.7,91,15
725,3.1,90,18
683,8.6,61,13
98,5.0,96,13
804,-6.2,54,41
1597,13.6,67,15
406,-13.2,59,23
502,10.3,56,15
1071,-1.6,65,25
1056,-0.3,59,23
929,22.8,66,13
779,4.2,71,17
200,22.6,95,6
134,12.0,62,8
1051,0.4,67,14
40,-7.7,75,9
1017,15.5,90,7
230,24.6,80,12
1513,-1.7,68,9
378,-5.3,72,17
288,7.4,72,23
418,-1.0,60,13
391,-1.1,64,20
592,22.3,70,9
1522,-5.6,68,13
1162,-2.0,64,16
1086,-4.7,84,15
1495,9.2,79,12
647,8.6,66,20
1152,3.3,57,19
1367,12.2,63,18
520,20.3,53,13
64,-12.1,62,20
14,-8.3,72,20
1180,3.4,58,17
1064,1.7,81,12
492,11.9,63,13
379,0.6,90,12
187,22.5,95,6
763,-5.0,58,27
216,19.3,59,20
791,-4.9,54,32
1076,-7.2,73,25
878,16.0,76,12
337,4.5,68,20
719,-4.9,61,21
295,5.0,62,12
1016,15.5,85,9
1275,25.3,58,13
1485,-7.6,67,32
455,12.3,84,24
1822,3.0,72,12
815,3.2,88,17
269,16.1,78,10
995,21.9,60,7
201,21.8,95,6
161,18.8,63,14
1579,3.2,57,17
729,-1.9,71,23
401,1.1,62,20
702,3.1,68,20
1500,-7.0,62,24
1129,-6.6,72,20
565,19.6,46,15
1413,-2.2,63,16
1021,16.0,56,14
1025,15.6,75,8
1411,3.6,60,9
1585,10.8,67,9
1104,-1.0,68,16
205,25.7,95,6
34,-5.6,85,14
775,-1.5,76,15
508,18.3,39,13
1451,-1.2,70,29
1478,-5.4,73,17
1796,-4.0,83,21
1390,6.6,64,8
91,10.0,66,16
1363,18.6,93,17
897,23.6,65,11
564,23.8,51,28
1369,10.0,87,15
776,-2.2,72,24
241,22.3,71,8
13,-10.3,73,9
315,9.7,82,28
600,22.1,56,16
387,-7.5,66,19
1297,22.1,66,20
166,21.4,68,21
840,6.5,88,18
20,-8.4,75,12
646,12.9,69,22
1508,-8.5,67,17
1154,9.0,55,18
1528,-5.4,61,17
831,14.2,76,19
1267,18.1,52,15
1590,9.9,77,22
562,18.8,65,12
1778,-1.0,73,16
686,6.7,81,9
957,21.9,72,12
189,19.6,95,6
975,13.7,68,14
699,8.9,92,10
1499,-2.2,69,45
1705,20.3,74,11
510,22.6,48,14
1082,-1.7,88,9
474,11.0,49,22
1584,9.6,88,8
856,6.1,88,32
747,0.7,90,13
252,18.4,54,10
21,-4.3,71,15
1337,16.8,75,14
459,-4.7,60,25
1184,1.6,59,24
276,11.8,73,16
955,20.0,62,11
1215,10.6,29,16
385,-6.9,68,12
805,-2.7,48,25
1437,-3.3,62,18
1515,1.9,84,34
343,8.1,82,12
769,-2.1,67,31
1332,22.9,78,13
1685,23.5,65,14
130,16.3,88,14
1687,19.6,62,20
871,11.8,82,13
1123,1.1,68,15
1396,3.5,88,10
87,-1.7,54,20
1482,-9.9,67,10
330,7.8,72,27
1238,18.0,57,16
466,5.6,89,14
121,15.2,46,12
1638,23.0,51,15
1044,-6.8,51,27
1724,21.8,76,14
1095,-18.6,63,12
1130,-3.8,82,18
1294,19.8,58,13
860,7.7,60,11
1459,-3.0,78,11
1126,-6.5,69,15
